"","SRR11902288","SRR11902289","SRR11902290","SRR11902202","SRR11902204","SRR11902205"
"Dtwd2",133.48000182,301.52000948,213.78402872,249.96003898,227.65999486,239.73999412
"Dtx1",1168.64354592,1357.75374474,2204.55788546,1274.63550394,1235.47860292,1749.3601182
"Dtx2",356.1199732,398.85999832,612.06000372,485.58003308,430.70004204,333.24006852
"Dtx3",8045.89543112,9245.40661366,12163.48110838,11178.0699475,9911.16865552,8691.4848505
"Dtx3l",378.06054182,491.93808326,491.43676986,452.40386256,364.35425662,434.58572998
"Dtx4",2352.1217256,1901.04726456,2133.6267618,1614.252735,1519.30364724,1911.26152584
"Dtymk",125.26700228,383.70337774,744.24683532,443.29494514,422.2947605,184.03498388
"Dubr",245.26037472,269.30558598,929.5123978,350.32648942,262.8163265,422.83801602
"Duox1",12.88002714,0,15.41998522,12.2199667,0,0
"Duox2",0,0,0,0,0,0
"Duoxa1",0,0,0,0,0,0
"Duoxa2",0,0,0,0,0,0
"Dus1l",743.73312926,741.5885268,828.17114956,765.70657198,824.03872736,725.6627577
"Dus2",739.73627978,737.9770365,902.604033,870.07126548,792.44849256,758.99697278
"Dus3l",2556.78126252,1914.76653634,1796.02084422,3799.59490846,2057.89095046,1597.56674772
"Dus4l",287.0399864,349.13999038,379.74001592,437.39998494,391.87999904,364.56001208
"Dusp1",2774.41988838,2471.49991032,2765.600027,1499.13999124,2118.71991266,1032.02009704
"Dusp10",397.73999984,369.28002704,440.75999724,548.21997712,479.89998804,423.56002496
"Dusp11",1472.22077228,1942.7927473,1373.43118496,3440.57132562,3211.29544286,1560.79318044
"Dusp12",361.15946174,413.87381694,567.17624186,353.90347268,351.2277198,384.0042973
"Dusp13",13.8199853,16.2999868,25.4639676,27.79999604,24.1999856,0
"Dusp14",4420.2400824,4782.99994608,4687.32012732,4191.9800479,3762.66001208,3289.77001046
"Dusp15",1238.76000086,1116.43750558,1258.97667886,1413.04006412,1180.47999742,1080.7200387
"Dusp16",943.320007,1064.29991766,1131.35999138,945.64006052,847.66006548,905.48000356
"Dusp18",2171.2600026,2260.9799757,2669.899977,2320.2599571,2077.4999781,1709.7999588
"Dusp19",1830.28899778,1006.80851326,2355.20427044,1264.47045726,1379.01326008,437.58317512
"Dusp2",37.200009,36.70001412,57.71999646,62.2600146,31.99998186,32.96000946
"Dusp21",0,0,0,0,0,0
"Dusp22",1746.77992028,1960.39996532,2223.32643654,2423.57994192,2076.80718256,1947.8565948
"Dusp23",166.6599978,142.4400048,225.5699952,211.879995,209.2599894,131.2799958
"Dusp26",1126.405211,2870.86853304,3808.47141952,4357.46425592,3060.96478816,1945.02634386
"Dusp27",24.1000291,26.3800338,28.4200082,24.0599836,32.3999646,19.4400273
"Dusp28",871.72289496,744.53179464,1036.68132492,1136.28538944,1008.862263,926.90647992
"Dusp29",0,0,0,6.12000468,0,0
"Dusp3",13268.16222838,15267.22657798,16457.88003042,14411.54644928,13512.12310682,12959.87197864
"Dusp4",632.5200128,712.0400188,742.580004,356.059986,441.9200232,309.599998
"Dusp5",862.12677448,726.5592391,832.27118522,534.36771948,615.62456428,387.07999412
"Dusp6",5817.15995114,6183.24002604,5971.65993388,3356.22011636,4381.55994926,2639.33994596
"Dusp7",3246.7169151,2601.00636906,3361.75480882,2072.05300436,1374.9379422,2391.6984435
"Dusp8",7476.6774845,8123.40351332,10939.43178052,9432.44002984,8344.41984536,6854.29296322
"Dusp9",24.83999208,36.600012,40.23997928,37.14000236,40.75999016,23.8999766
"Dut",977.3100105,1160.4500177,1196.56001,1444.8000043,1218.840012,1052.6999831
"Duxbl1",101.6799881,63.60002226,116.40002626,200.09999856,123.34002026,85.06001436
"Duxf3",0.815994,0,0.841995,1.0540125,0.2039985,0.3399975
"Dvl1",1670.57141824,2032.90107358,5453.36949112,4532.41744508,3677.18450202,2552.61275888
"Dvl2",967.03860214,703.09071652,1008.94728322,1232.5655134,905.74184338,819.89590278
"Dvl3",1460.84308178,985.85975558,1560.40919176,1486.49707304,973.76838568,1054.88678208
"Dxo",257.83347992,435.28179896,261.51774888,395.56930648,261.42684832,147.85994274
"Dydc1",0,0,0,0,0,0
"Dydc2",23.40000248,9.180005,10.65999604,32.66000788,22.46000596,17.09999552
"Dym",731.21044842,991.26388758,3072.09701784,1368.08975844,2913.17100364,1101.05433028
"Dynap",0,0,0,0,0,0
"Dync1h1",47920.9816695,49317.133384,57308.91083722,55149.79419704,48855.93989492,40272.46263732
"Dync1i1",6604.09047762,6715.54342182,7134.99240214,8525.31870496,7133.25166808,4852.61674386
"Dync1i2",1629.74350086,2710.24469348,3472.51772206,1739.54519488,3778.2244201,2785.81572626
"Dync1li1",5299.15001662,6283.98003512,6465.26996208,6689.37621772,5964.70999248,5255.62995832
"Dync1li2",17464.69658956,6199.96584658,19928.8501794,20654.74065052,6678.58538962,18993.94687544
"Dync2h1",1681.51317262,143.04151904,905.63876538,112.08861212,157.83174594,123.07034652
"Dync2i1",157.67564032,223.47588864,122.41538728,196.04908302,777.47766168,135.62381758
"Dync2i2",746.52685552,707.60518778,1067.46053948,1160.33409792,965.94077462,791.1906518
"Dync2li1",262.80213262,388.14433916,230.41359564,578.24269512,356.61648758,364.92232508
"Dynll1",11451.0288877,14041.87003408,14126.77999162,12966.7126395,12100.8276424,9874.22608616
"Dynll2",22344.18268046,24656.36773208,31378.56704016,27421.97409224,25341.1192998,30094.04441878
"Dynlrb1",5325.57999124,5980.34995826,6501.17009106,6908.94006196,5836.999943,5644.15992378
"Dynlrb2",20.13999762,34.1399989,38.39999822,31.32000648,35.2399977,40.91999464
"Dynlt1-ps1",47.38663764,75.41966628,78.12606276,82.29034368,59.85364572,69.48472824
"Dynlt1a",429.31940632,451.33846266,417.2659101,438.16076222,364.96453572,286.8204277
"Dynlt1b",201.20543356,259.80931824,334.31351564,285.17101916,270.55702832,272.55561504
"Dynlt1c",468.8748391,468.3297964,559.50358758,561.85072622,510.52637072,409.1506732
"Dynlt1f",331.7904618,252.16110756,243.39132696,356.74880958,177.54621576,140.5402005
"Dynlt2a1",2.88551862,4.09481756,3.70470364,7.32838544,6.83606366,8.62306932
"Dynlt2a2",55.49512746,66.59828724,65.87660668,78.03671782,67.38931288,78.60472616
"Dynlt2a3",0,4.6015848,3.4687216,10.16901904,6.84355888,6.97666016
"Dynlt2b",665.1200306,804.94000384,831.50003108,1043.42997928,852.71000536,881.36001212
"Dynlt3",8974.53988322,10669.19023784,10430.54002196,10991.81005672,10660.44023842,10087.3098946
"Dynlt4",0,0,15.2230914,7.2610164,8.2104066,0
"Dynlt5",0,0,5.76706684,0,0,0
"Dyrk1a",3430.45298466,4407.84444896,2495.87197312,3799.06240072,3780.19323938,3184.98895436
"Dyrk1b",5857.27758288,7519.9996596,8431.63928372,7020.20339188,6564.43860638,5034.99193644
"Dyrk2",4525.00870662,4630.82337152,4762.05230616,3765.07500094,4432.08363218,3522.30672038
"Dyrk3",473.06001792,532.3799842,581.49997976,683.61997816,636.05999576,407.03999392
"Dyrk4",0,15.24000464,0,0,0,0
"Dysf",300.003773,264.78395064,360.68739132,373.55520822,321.59993244,223.22973028
"Dytn",0,0,0,0,0,3.66001308
"Dzank1",18498.98871416,21395.58828252,13799.48234496,21148.24289218,9385.97204744,20017.49306066
"Dzip1",878.57540926,1351.72686878,986.78425486,1494.39585308,1508.71154504,1241.13764274
"Dzip1l",283.0689645,487.22520628,880.04659282,586.33783526,395.02448762,206.59500704
"Dzip3",2367.41322786,2384.2282385,2374.90828226,855.98544344,2253.3456755,2013.21165264
"E030013I19Rik",55.174391,79.97674778,96.21216756,90.9531311,70.35109868,73.67166306
"E030018B13Rik",0,2.0400079,3.0199904,0,4.0800564,0
