"","gene_id","gene_name"
"5137","ENSMUSG00000053603.5","4930442H23Rik"
"5138","ENSMUSG00000034974.14","Dapk3"
"5139","ENSMUSG00000085779.2","Atcayos"
"5140","ENSMUSG00000004939.8","Nmrk2"
"5141","ENSMUSG00000034958.12","Atcay"
"5142","ENSMUSG00000034949.19","Zfr2"
"5143","ENSMUSG00000004933.18","Matk"
"5144","ENSMUSG00000034932.5","Mrpl54"
"5145","ENSMUSG00000004931.12","Apba3"
"5146","ENSMUSG00000092781.3","Mir3057"
"5147","ENSMUSG00000034917.9","Tjp3"
"5148","ENSMUSG00000034902.18","Pip5k1c"
"5149","ENSMUSG00000090230.3","Gm16315"
"5150","ENSMUSG00000034889.9","Cactin"
"5151","ENSMUSG00000034881.9","Tbxa2r"
"5152","ENSMUSG00000034872.7","Gipc3"
"5153","ENSMUSG00000020232.18","Hmg20b"
"5154","ENSMUSG00000034854.9","Mfsd12"
"5155","ENSMUSG00000020234.11","Tektip1"
"5156","ENSMUSG00000020235.17","Fzr1"
"5157","ENSMUSG00000078440.11","Dohh"
"5158","ENSMUSG00000113262.2","Gm48551"
"5159","ENSMUSG00000098811.3","Mir6913"
"5160","ENSMUSG00000114004.2","Gm48552"
"5161","ENSMUSG00000078439.10","Smim24"
"5162","ENSMUSG00000055053.19","Nfic"
"5163","ENSMUSG00000085327.3","Gm16104"
"5164","ENSMUSG00000105379.3","Mir1191b"
"5165","ENSMUSG00000034818.18","Celf5"
"5166","ENSMUSG00000084849.2","Gm16105"
"5167","ENSMUSG00000020238.15","Ncln"
"5168","ENSMUSG00000044199.7","S1pr4"
"5169","ENSMUSG00000034792.9","Gna15"
"5170","ENSMUSG00000082828.2","Gm16106"
"5171","ENSMUSG00002074981.1","Gm56270"
"5172","ENSMUSG00000112350.2","Gm47697"
"5173","ENSMUSG00000034781.6","Gna11"
"5174","ENSMUSG00000054452.11","Tle5"
"5175","ENSMUSG00000090034.2","Gm15917"
"5176","ENSMUSG00000034771.16","Tle2"
"5177","ENSMUSG00000034758.13","Tle6"
"5178","ENSMUSG00000074862.12","BC025920"
"5179","ENSMUSG00000034748.17","Sirt6"
"5180","ENSMUSG00000054708.18","Ankrd24"
"5181","ENSMUSG00000120847.1","ENSMUSG00000120847"
"5182","ENSMUSG00000096856.8","Gm10778"
"5183","ENSMUSG00000112585.2","Gm47527"
"5184","ENSMUSG00000112001.2","Gm8112"
"5185","ENSMUSG00000096795.5","Zfp433"
"5186","ENSMUSG00000112061.2","Gm8249"
"5187","ENSMUSG00000112339.2","Gm47529"
"5188","ENSMUSG00000112621.2","Gm5173"
"5189","ENSMUSG00000094622.4","Gm3055"
"5190","ENSMUSG00000112877.2","Gm47537"
"5191","ENSMUSG00000094076.8","Gm4767"
"5192","ENSMUSG00000112740.2","Gm8264"
"5193","ENSMUSG00000112697.2","Gm8137"
"5194","ENSMUSG00000112640.2","Gm32687"
"5195","ENSMUSG00000112196.2","Gm8274"
"5196","ENSMUSG00000112760.2","Gm47539"
"5197","ENSMUSG00000112311.2","Gm8153"
"5198","ENSMUSG00000096718.3","Zfp781"
"5199","ENSMUSG00000112205.2","Gm47546"
"5200","ENSMUSG00000112051.2","Gm8158"
"5201","ENSMUSG00000111985.2","Gm8290"
"5202","ENSMUSG00000112502.2","Gm46194"
"5203","ENSMUSG00000112790.2","Gm33378"
"5204","ENSMUSG00000112381.2","Gm8170"
"5205","ENSMUSG00000061371.8","Zfp873"
"5206","ENSMUSG00000112373.2","Gm18556"
